Name,Education
Kim Jung-ju,"Doctorate, Korea Advanced Institute of Science and Technology; Master of Science, Korea Advanced Institute of Science and Technology; Bachelor of Arts/Science, Seoul National University"
Robert & Philip Ng,
Zhang Bangxin,"EMBA, China Europe International Business School"
Anders Holch Povlsen,
Wang Wenyin,
Wang Liping & family,
Tatyana Bakalchuk,"Bachelor of Science, State University of Management"
Michael Platt,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics"
Huang Shilin,"Bachelor of Technology, Hefei University of Technology"
Ricardo Salinas Pliego & family,"Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, Tecnológico de Monterrey"
Kumar Birla,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Bombay"
Dang Yanbao,"Master of Business Administration, Peking University"
Cyrus Poonawalla,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University"
Robert Kuok,"Bachelor of Arts/Science, Raffles College"
Hank & Doug Meijer,
Jack Dorsey,"Drop Out, New York University"
Lu Zhongfang,
Ma Jianrong & family,
Zhang Tao,
Nathan Blecharczyk,"Bachelor of Arts/Science, Harvard University"
John Doerr,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University"
Joe Gebbia,"Bachelor of Arts/Science, Rhode Island School of Design"
Forrest Li,"Bachelor of Engineering, Shanghai Jiaotong University; Master of Business Administration, Stanford Graduate School of Business"
Yu Renrong,"Bachelor of Science in Engineering, Tsinghua University"
Liu Yonghao & family,
Gordon Moore,"Doctorate, California Institute of Technology; Bachelor of Arts/Science, University of California, Berkeley"
Jeff Yass,"Bachelor of Arts/Economics, SUNY Binghamton"
Bobby Murphy,"Bachelor of Arts/Science, Stanford University"
Patrick Drahi,
Jensen Huang,
Alexander Otto,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College"
Cen Junda,"Doctorate, Zhejiang University"
Joseph Tsai,"Bachelor of Arts/Science, Yale University; Doctor of Jurisprudence, Yale University"
Aliko Dangote,"Bachelor of Arts/Science, Al-Azhar University"
Marcel Herrmann Telles,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
Mikhail Prokhorov,"Bachelor of Arts/Science, Moscow Institute of Finance"
Jorge Moll Filho & family,"Masters of Public Health, Universidade Federal do Rio de Janeiro"
Viktor Rashnikov,"Bachelor of Science in Engineering, Magnitogorsk Mining and Metallurgical Institute"
Harry Triguboff,"Bachelor of Arts/Science, University of Leeds"
Leonid Fedun & family,"Master of Science, Military Academy F.E.Dzerzhinsky"
Eyal Ofer,
Evan Spiegel,"Bachelor of Science, Stanford University"
Luis Carlos Sarmiento,"Bachelor of Arts/Science, National University of Colombia"
Andreas Struengmann & family,"Medical Doctor, University at Buffalo"
Thomas Struengmann & family,"Master of Business Administration, University of Augsburg; Master of Business Administration, University of Augsburg"
Rodolphe Saadé & family,"Bachelor of Arts/Science, Concordia University"
Dilip Shanghvi,"Bachelor of Arts/Science, Calcutta University"
Tom & Judy Love,
Anthony Pratt,"Bachelor of Arts/Economics, Monash University"
Wang Laisheng,
Gianluigi & Rafaela Aponte,
Wang Laichun,"EMBA, Tsinghua University"
Chen Jianhua,"Bachelor of Arts/Science, Nanjing Normal University"
Leng Youbin,"Bachelor of Arts/Science, Northeast Agriculture University; EMBA, Peking University"
Charles Schwab,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University"
Li Zhenguo & family,
Sunil Mittal & family,"Bachelor of Arts/Science, Punjab University"
Melker Schorling & family,"Master of Business Administration, Gothenburg University"
Cai Kui,"Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics"
John Fredriksen,
Qi Shi & family,"EMBA, Fudan University; Bachelor of Arts/Science, Shanghai Jiaotong University"
"Chase Coleman, III.","Bachelor of Arts/Science, Williams College"
Hui Wing Mau,"Master of Business Administration, University of South Australia"
"Edward Johnson, III.","Bachelor of Arts/Science, Harvard University"
Liu Hanyuan,"Bachelor of Arts/Science, Sichuan University"
Larry Xiangdong Chen,"Ph.D, Renmin University of China"
Philip Anschutz,"Bachelor of Arts/Science, University of Kansas"
Dietmar Hopp & family,"Master of Science, University of Karlsruhe"
German Khan,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"
Li Ge,"Ph.D, Columbia University"
Jay Chaudhry,
Eric Wittouck,
Carl Cook,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management"
Jan Koum,"Drop Out, San Jose State University"
"Herbert Kohler, Jr. & family","Bachelor of Arts/Science, Yale University"
Tobi Lutke,
James Dyson,
Mat Ishbia,"Bachelor of Business Administration, Michigan State University"
Savitri Jindal & family,
Friedhelm Loh,
Iskander Makhmudov,"Bachelor of Arts/Science, Tashkent State University"
Stefano Pessina,"Bachelor of Engineering, Politecnico di Milano"
