Name,Education
Wong Luen Hei,
Zhou Bajin,
Patrizio Bertelli,Master
Bert Beveridge,Bachelor
Martin & Olivier Bouygues,
Chen Lip Keong,MD
Dong Fan,Bachelor
Daniel Ek,
Tilman Fertitta,Uni Drop Out
Luis Frias,
Peter Gassner,Bachelor
Vladimir Kim,
Li Weiguo,
Denis O'Brien,Master
Miuccia Prada,Doctor
"Robert Rich, Jr.",Master
Abhay Vakil & family,Bachelor
Paul-Heinz Wesjohann & family,
Ron Baron,Bachelor
Andre Esteves,Bachelor
Jonathan Gray,Bachelor
Hu Baifan,Bachelor
Viatcheslav Kantor,Ph.D
Min Kao & family,Bachelor
Friedrich Knapp,
Richard Li,Uni Drop Out
Rudolf Maag,Master
Miao Hangen,
Sami Mnaymneh,Bachelor
Igor Olenicoff,Bachelor
Sergei Popov,Bachelor
Thomas Pritzker,Bachelor
"Julian Robertson, Jr.",Bachelor
Tony Tamer,
Zhu Baoguo & family,Bachelor
Shari Arison,Uni Drop Out
Orlando Bravo,Bachelor
Garrett Camp,Master
Nick Caporella,
Mark Cuban,Bachelor
Yakir Gabay,
Erman Ilicak,
Gustav Magnar Witzoe,
Michael Minhong Yu,Bachelor
Zhang Daocai,
Stéphane Bancel,Master
Ralph Dommermuth,
Thomas Hagen,Bachelor
Pansy Ho,Bachelor
Rakesh Jhunjhunwala,Bachelor
Lee Yin Yee,
Eric Lefkofsky,Bachelor
Edwin Leong,
Pawan Munjal & family,
Antony Ressler,Master
Paul Singer,Doctor
Kerry Stokes,
Steven Udvar-Hazy,Bachelor
Takao Yasuda,Bachelor
Ye Chenghai & family,Bachelor
Alain Bouchard,
Rick Caruso,Doctor
Scott Cook,Master
Barry Diller,Uni Drop Out
Traudl Engelhorn & family,
Fang Wei,
Fu Liquan & family,Bachelor
Luca Garavoglia,Bachelor
Tom Golisano,Associate
Peter Hargreaves,
Bertil Hult,
Ray Lee Hunt,Bachelor
James Irving,
Martin Lau,Master
Li Li,Bachelor
Liu Fangyi,
Luo Liguo & family,
Pan Laican,
Juan Roig,
Leonard Stern,Master
Thomas Straumann,
Wang Yanqing & family,
Ken Xie,Master
Xue Hua,Bachelor
Steven Meng Yang & family,Bachelor
Margot Birmingham Perot,Bachelor
David Bonderman,Doctor
Matthew Calkins,Bachelor
Cho Tak Wong,
Piero Ferrari,
Dan Friedkin,Bachelor
Laurence Graff & family,
Martin Haefner,
Hong Ra-hee,Bachelor
Ji Qi,
"Rupert Johnson, Jr.",Bachelor
Daniel Kretinsky,Master
William Lauder,
Janice McNair,Bachelor
John Morris,Bachelor
Gabe Newell,Uni Drop Out
Katharina Otto-Bernstein,
Julio Ponce Lerou,
Jon Stryker,Bachelor
Suh Kyung-bae,Master
Xu Jingren,
Samuel Yin,Bachelor
Walter P.J. Droege,
Du Jiangtao & family,Master
Vinod & Anil Rai Gupta,
Masatoshi Ito,
Igor Kesaev,Bachelor
Koon Poh Keong,Bachelor
Paul Xiaoming Lee & family,Master
Li Xiang,
Melissa Ma,
Kiran Mazumdar-Shaw,Bachelor
Gwendolyn Sontheim Meyer,
Akira Mori & family,
Georg Nemetschek & family,
Masahiro Noda,Bachelor
Ajay Piramal,Bachelor
Qiu Guanghe & family,
Trevor Rees-Jones,Bachelor
Ira Rennert,Bachelor
Marc Rowan,Bachelor
Ugur Sahin,
Michal Solowow,
Udo & Harald Tschira,
Wu Jianshu,
Ye Xiaoping,Ph.D
Zhou Hongyi,Master
Che Jianxing,
Beatriz Davila de Santo Domingo,
Rafael Del Pino,Master
Du Weimin,Master
Rakesh Gangwal,Bachelor
Paul Gauselmann & family,
Jeff Greene,Master
Johnelle Hunt,Uni Drop Out
Jin Baofang,Associate
Kuan Kam Hon & family,
"Stephen Mandel, Jr.",Bachelor
Gilles Martin,Bachelor
Masahiro Miki,Bachelor
Dan Olsson,
Robert Rowling,Doctor
Erik Selin,
Mark Shoen,
Ben Silbermann,Bachelor
Maximilian Viessmann,
Wang Linpeng,
Wu Zhigang & family,
Yi Zheng,Bachelor
Zhang Wenzhong,
Euisun Chung,Bachelor
Daniel D'Aniello,Master
Oleg Deripaska,Bachelor
Sergey Dmitriev,Master
Feng Hailiang,Master
John Gandel,Doctor
Gao Dekang & family,Master
Jaime Gilinski Bacal,Master
Sergei Gordeev,Bachelor
Jeff Green,
"Amos Hostetter, Jr.",Bachelor
Kuok Khoon Hong,
Lai Jianping,
Aerin Lauder,Bachelor
Hans Georg Naeder,
Maren Otto,
Clive Palmer,
Karsanbhai Patel,
Qiu Jianping & family,Master
Wolfgang Reimann,
Matthias Reimann-Andersen,
Stefan Reimann-Andersen,
Renate Reimann-Haas,
Dirk Rossmann & family,
Shaul Shani,
Song Fei,
Donald Sterling,Bachelor
Ivar Tollefsen,
Don Vultaggio & family,High School
Nusli Wadia,
Zhang Jin,Master
Zhu Gongshan,
Peter Gilgan,
Marian Ilitch,High School
Kong Jian Min,Bachelor
Li Liangbin,
Li Yongxin & family,Bachelor
Mary Alice Dorrance Malone,Bachelor
Michael Milken,Bachelor
Ronald Perelman,Bachelor
Candido Pinheiro Koren de Lima,
J. Joe Ricketts & family,Bachelor
Paolo & Gianfelice Mario Rocca,"Certificate, Harvard Business School"
Jeff Rothschild,Bachelor
David Rubenstein,Bachelor
Maria-Elisabeth Schaeffler-Thumann,
Steven Spielberg,Bachelor
Barry Sternlicht,Bachelor
Mark Stevens,Master
David Steward,Bachelor
Vincent Viola,Doctor
Todd Wanek,
Wang Roger,Bachelor
Russ Weiner,Bachelor
Herbert Wertheim,Associate
Xu Shugen,
Anil Agarwal & family,
Majid Al Futtaim & family,
Leonid Boguslavsky,Master
"Austen Cargill, II.",Doctor
"James Cargill, II.",
Chu Lam Yiu,
Steve Conine,Bachelor
Hu Kaijun,
S. Curtis Johnson,Bachelor
