Name,Education
Qi Xiangdong,4
Renzo Rosso & family,
Stephen Rubin,
"Bernard Saul, II.",3
Klaus-Peter Schulenberg,
Tahir & family,4
Lucio Tan,3
Lottie Tham & family,
Wang Wenxue,
Hans Peter Wild,
"William Wrigley, Jr.",3
Zhang Xin & Pan Shiyi,4
Giuliana Benetton,
Luciano Benetton,
Tomasz Biernacki,
Chey Tae-won,3
John Collison,2
Patrick Collison,2
Jack Cowin,3
Archie Aldis Emmerson & family,1
Yoichi & Keiko Erikawa,
Juan Carlos Escotet,4
Carlo Fidani,
Don Hankey,3
Otto Happel,
He Zhaoxi,3
Heidi Horten,
Ke Zunhong & family,
Thai Lee,3
Mikhail Lomtadze,4
Ronald McAulay,4
Maja Oeri,
James Packer,
John Sall,3
Naguib Sawiris,3
Zygmunt Solorz-Zak,
Lawrence Stroll,
Rita Tong Liu,
Tsai Cheng-ta,3
Tsai Hong-tu,5
Steve Wynn,3
Zhang Li,
Otto Philipp Braun,
John Caudwell,
Chi Yufeng,
Camilla de Godoy Bueno Grossi,
Antonio Del Valle Ruiz & family,
Martin Ebner,5
John Fisher,3
Jane Goldman,
Gu Yuhua & family,
Hao Hong,
Hoi Kin Hong,
Jin Lei,
Artem Khachatryan,4
Li Gaiteng,
Li Zhongchu,3
Harald Link,
Sergey Lomakin,4
Nie Tengyun & family,
Prasert Prasarttong-Osoth,
Penny Pritzker,3
Herb Simon,3
Jerry Speyer,4
Wilhelm Beier & family,
Koos Bekker,4
Ben Chestnut,3
John Coates,
Pedro de Godoy Bueno,
Carl Douglas,3
Eric Douglas,3
Behdad Eghbali,
Jose E. Feliciano,
Philippe Foriel-Destezet,4
Gan Zhongru,5
Allan Goldman,
Amy Goldman Fowler,
Alec Gores,3
Peter Grogg,
Jimmy Haslam,3
Christian Haub,
Gudrun Heine,
Huang Jinfeng,
Huang Rulun,
James Irsay,3
Justin Ishbia,3
Diane Kemper,
George Kurtz,3
Dan Kurzius,
Kwek Leng Beng,3
Geoffrey Kwok,3
Sheldon Lavin,
Louis Le Duff,
James Leprino,
Joseph Liemandt,2
Peter Lim,
Jeffrey Lurie,5
Tom Morris,
Or Wai Sheun,
P.V. Ramprasad Reddy,
Haim Saban,1
Ferit Faik Sahenk,3
Eddy Kusnadi Sariaatmadja,3
Gil Shwed,
Song Zuowen,
Friede Springer,
Sybill Storz,
Pat Stryker,2
Hans Sy,3
Herbert Sy,3
Andrew Tan,3
Tian Ming,
Wang Changtian,3
Richard White,
Cameron Winklevoss,3
Tyler Winklevoss,3
Xia Zuoquan,
Yin Xin,
Zhang Lei,3
Zhu Xingming,
Juan Abello,
Ben Ashkenazy,2
Sid Bass,4
Joesley Batista,
Wesley Batista,
Riley Bechtel & family,5
Sanjeev Bikhchandani,4
Cao Ji,
Chen Kaixuan,
Bennett Dorrance,3
Marcel Erni,
Walter Faria,
Fu Guangming & family,
Bob Gaglardi,3
Alfred Gantner,
Maggie Hardy Knox,2
Hu Yangzhong,
Huang Qiaoling,
Huang Zhenda & family,
Bradley Jacobs,
Osman Kibar,3
Kim Taek-jin,3
Maritsa Lazari & family,
Pablo Legorreta,3
Liang Yunchao,4
Samir Mehta,
Sudhir Mehta,
Farhad Moshiri,3
Patrice Motsepe,
Matt Moulding,3
Alexander Nesis,3
Benjamin Otto,
Lucy Peng,3
Sebastian Piñera & family,5
Alexander Ponomarenko,4
Chandru Raheja,3
Chad Richison,3
Arkady Rotenberg,3
Alejandro Santo Domingo,3
Paul Sciarra,3
Alexander Skorobogatko,4
Jeff Sutton,3
Glen Taylor,3
Urs Wietlisbach,
Xu Yingzhuo,
Jon Yarbrough,3
Ye Fan & family,
William Ackman,4
Abdulla bin Ahmad Al Ghurair & family,
Bai Baokun,
David Baszucki,
Aneel Bhusri,3
Norman Braman,3
Eva Maria Bucher-Haefner,
Vivek Chand Burman,3
John Catsimatidis,2
Morris Chang,3
Chen Hua,
Chen Huwen,
Chen Huxiong,
Chen Tianshi,
James Clark,3
Jean Coutu & family,
Deng Weiming & family,
Bergit Douglas,
Doris Fisher,3
Gary Friedman,2
Valentin Gapontsev & family,3
David Gottesman,4
John Henry,
Alan Howard,4
Micky Jagtiani,
Travis Kalanick,2
Alicia Koplowitz,
Timur Kulibaev,3
Dinara Kulibaeva,5
Li Liufa & family,4
Li Sze Lim,3
Li Xiaohua & family,4
Liu Ming Hui,4
Lv Jianming,
Rudy Ma,4
"Drayton McLane, Jr.",3
Hans Melchers,
Nguyen Thi Phuong Thao,
Philip Niarchos,
Alfred Oetker,
August Oetker,
Carl Ferdinand Oetker,
Christian Oetker,
Julia Oetker,
Richard Oetker,
Heloise Pratt,
Filiz Sahenk,
T. Denny Sanford,3
Karin Schick,
Hilton Schlosberg,
Rosely Schweizer,
Warren Stephens,4
Konstantin Strukov,4
Kenneth Tuchman,
Masateru Uno & family,
Stefan von Holtzbrinck,3
Lars Wingefors,
Wong Kwong Yu & family,
Xiong Wu,
Xu Jinfu,
Tony Xu,4
Xu Zhihan,
Zhong Ruonong & family,
Miriam Baumann-Blocher,
Timothy Boyle,3
John Paul DeJoria,1
Mitchell Goldhar,3
Luciano Hang,
Georg Haub,
Victor Jacobsson,4
James Jannard,2
Vinod Khosla,4
Valentin Kipyatkov,4
Lim Kok Thay,3
Lu Zhiqiang,4
Sergio Mantegazza,
Franziska Wuerbser & Gabriella Meister,
Nan Cunhui,
Ou Zongrong & family,
Sean Parker,1
Richard Peery,3
"H. Ross Perot, Jr.",3
Su Suyu & family,
Sun Shoukuan,
Harley Sy,3
